MUNICIPALITY NAME;year;DMU;x1;x2;x3;y1;y2;T;P;T^2;P^2
Ahuacatlán;2016;AHC16;1900;8066;955;9294806;3178;15.11;1575.83;228.46;2483240.19
;2017;AHC17;1923;8342;586;10084764;3174;14.84;1606.81;220.09;2581838.38
Amixtlán;2016;AMX16;718;907;573;10849450;526;16.2;1970.03;262.58;3881018.2
;2017;AMX17;714;914;470;9582738;525;15.88;2047.66;252.31;4192911.48
Atlequizayan;2016;ATE16;451;2471;98;2224808;61;18.17;2865.12;330.16;8208912.61
;2017;ATE17;442;2471;106;3297949;61;17.33;3101.39;300.39;9618619.93
Camocuautla;2016;CAO16;572;170;311;3309140;1181;16.52;2104.35;272.89;4428288.92
;2017;CAO17;578;172;268;3200718;1180;16.13;2262.84;260.21;5120444.87
Chiconcuautla;2016;CHC16;4150;8647;290;32328034;5285;15.91;1769.04;253.17;3129502.52
;2017;CHC17;4191;9071;285;41671463;5277;15.69;1683.12;246.19;2832892.93
Cuetzalan del Progreso;2016;CUT16;867;11062;199;45782031;2812;20.37;3994.24;414.78;15953953.18
;2017;CUT17;869;11406;234;62298673;2808;18.78;4097.95;352.59;16793194.2
Honey;2016;HOE16;789;6547;336;20514420;2582;14.99;1307.59;224.79;1709791.61
;2017;HOE17;806;6738;327;25196359;2578;14.77;1212.12;218.02;1469234.89
Huitzilan de Serdán;2016;HUT16;3621;2439;89;14581630;1636;16.19;1965.94;262.03;3864920.08
;2017;HUT17;3677;2487;103;9632994;1634;15.88;2259.72;252.31;5106334.48
Huauchinango;2016;HUU16;5403;8982;1421;72732837;7004;18.34;2162.5;336.46;4676406.25
;2017;HUU17;5466;9507;1415;98981359;6994;18.06;1879.08;325.99;3530941.65
Hueytlalpan;2016;HYL16;1190;1201;93;6602907;61;17.42;2495.47;303.52;6227370.52
;2017;HYL17;1166;1202;109;8776085;61;16.83;2705.31;283.19;7318702.2
Hueyapan;2016;HYP16;1677;2972;199;14441762;3652;18.85;2379.74;355.48;5663162.47
;2017;HYP17;1705;3085;209;13915559;3647;18.57;2975.4;345.01;8853005.16
Hueytamalco;2016;HYT16;3838;14532;419;209499830;4320;21.84;2366.79;476.99;5601694.9
;2017;HYT17;3818;15154;416;208523139;4314;21.89;3419.08;479.29;11690108.05
Ixtepec;2016;IXE16;1240;518;93;6123275;132;18.11;2824.51;327.91;7977856.74
;2017;IXE17;1246;519;113;7852074;131;17.3;3043.24;299.43;9261309.7
Juan Galindo;2016;jun/16;50;1611;163;581099;1282;18.34;2564.04;336.48;6574301.12
;2017;jun/17;51;1636;142;359510;1281;18.2;2299.76;331.23;5288896.06
Naupan;2016;NAP16;2254;8629;253;15623081;1728;17.82;2170.58;317.66;4711417.54
;2017;NAP17;2266;8809;255;19075510;1726;17.6;1926.9;309.64;3712943.61
Nauzontla;2016;NAZ16;457;2994;108;25447097;234;17.33;2466.1;300.23;6081649.21
;2017;NAZ17;449;3004;121;41625682;233;16.73;2798.65;279.79;7832441.82
Pahuatlán;2016;PAU16;2149;4178;291;15558442;2706;16.96;2033.08;287.78;4133414.29
;2017;PAU17;2177;4304;279;17887363;2702;16.78;1848.23;281.55;3415954.13
San Felipe Tepatlán;2016;SNF16;769;1459;211;16492676;1282;16.8;2186.29;282.12;4779863.96
;2017;SNF17;758;1483;203;12943212;1281;16.47;2234.14;271.22;4991381.54
Teziutlán;2016;TEI16;2078;2731;866;20196436;2501;18.65;2198.72;347.79;4834369.64
;2017;TEI17;2102;2809;911;18816531;2498;18.53;2844.4;343.26;8090611.36
Tlacuilotepec;2016;TLC16;2891;8656;330;55895693;3183;18.39;2902.66;338.03;8425435.08
;2017;TLC17;2869;8952;306;62746893;3179;18.36;2656.36;337;7056248.45
Tlaola;2016;TLO16;4161;8034;317;77436360;3758;17.38;2340.97;301.99;5480140.54
;2017;TLO17;4167;8345;312;87715762;3753;17.21;2189.42;296.26;4793559.94
Tlapacoya;2016;TLP16;981;5671;247;59516191;2627;16.76;2151.75;280.83;4630028.06
;2017;TLP17;983;5839;241;52149548;2623;16.51;2120.42;272.59;4496180.98
Tlatlauquitepec;2016;TLT16;6032;7640;420;505135645;2438;15.4;1526.1;237.16;2328981.21
;2017;TLT17;6078;7852;428;62774633;2434;15.25;2080.47;232.56;4328355.42
Tlaxco;2016;TLX16;1051;5976;230;44483054;3229;17.67;2516.09;312.07;6330708.89
;2017;TLX17;1049;6182;222;62273026;3224;17.57;2317.42;308.67;5370435.46
Tepango de Rodríguez;2016;TPG16;369;230;304;4422390;1254;16.01;1905.75;256.21;3631883.06
;2017;TPG17;363;233;284;3432467;1252;15.68;2040.58;245.84;4163966.74
Tepetzintla;2016;TPT16;2137;10410;479;9071128;6063;14.72;1446.69;216.55;2092911.96
;2017;TPT17;2192;10968;438;47371098;6055;14.43;1518.73;208.28;2306540.81
Xicotepec;2016;XIO16;5588;21138;786;171695292;1137;18.84;3166.95;354.9;10029572.3
;2017;XIO17;5672;22458;845;198516373;1135;18.86;2891.33;355.69;8359789.17
Xochitlán de Vicente Suárez;2016;XOH16;2295;3270;143;7982530;7852;16.27;1984.02;264.79;3936335.36
;2017;XOH17;2313;3317;171;10386771;1135;15.97;2359.33;254.92;5566438.05
Yaonáhuac;2016;YAN16;886;2056;169;9292546;3422;17.91;2359.13;320.86;5565494.36
;2017;YAN17;896;3317;189;12230815;3417;17.54;2829.98;307.78;8008786.8
Zapotitlán de Méndez;2016;ZAO16;872;1221;112;5102349;2228;16.96;2295.13;287.56;5267621.72
;2017;ZAO17;867;1252;189;12230815;2225;16.47;2542.13;271.31;6462424.94
Zacapoaxtla;2016;ZCP16;4915;12708;206;84613651;8787;15.33;1525.12;234.91;2325991.01
;2017;ZCP17;4952;13553;235;123116006;8775;15.24;2037.83;232.4;4152751.11
Zongozotla;2016;ZOG16;1395;110;86;8527777;1498;16.09;1938.38;258.95;3757317.02
;2017;ZOG17;1413;112;102;14288126;1496;15.76;2131.48;248.51;4543206.99
